petal length (cm),target
1.4,0
1.4,0
1.3,0
1.5,0
1.4,0
1.7,0
1.4,0
1.5,0
1.4,0
1.5,0
1.5,0
1.6,0
1.4,0
1.1,0
1.2,0
1.5,0
1.3,0
1.4,0
1.7,0
1.5,0
1.7,0
1.5,
1.0,0
1.7,0
1.9,0
1.6,0
1.6,0
1.5,0
1.4,0
1.6,0
1.6,0
1.5,0
1.5,
1.4,0
1.5,0
1.2,0
1.3,0
1.4,0
1.3,0
1.5,0
1.3,0
1.3,0
1.3,0
1.6,0
1.9,0
1.4,0
1.6,0
1.4,0
1.5,0
1.4,0
4.7,1
4.5,1
4.9,1
4.0,1
4.6,1
4.5,1
4.7,
3.3,1
4.6,1
3.9,1
3.5,1
4.2,1
4.0,1
4.7,1
3.6,1
4.4,1
4.5,1
4.1,1
4.5,1
3.9,1
4.8,1
4.0,1
4.9,1
4.7,1
4.3,1
4.4,1
4.8,1
5.0,1
4.5,1
3.5,1
3.8,1
3.7,1
3.9,1
5.1,1
4.5,1
4.5,1
4.7,1
4.4,1
4.1,1
4.0,1
4.4,1
4.6,1
4.0,1
3.3,1
4.2,1
4.2,1
4.2,1
4.3,
3.0,1
4.1,1
6.0,2
5.1,2
5.9,2
5.6,2
5.8,2
6.6,2
4.5,
6.3,2
5.8,2
6.1,2
5.1,2
5.3,2
5.5,2
5.0,2
5.1,
5.3,2
5.5,2
6.7,2
6.9,
5.0,2
5.7,2
4.9,2
6.7,2
4.9,2
5.7,2
6.0,2
4.8,2
4.9,2
5.6,2
5.8,2
6.1,2
6.4,2
5.6,2
5.1,2
5.6,2
6.1,2
5.6,
5.5,2
4.8,2
5.4,2
5.6,2
5.1,2
5.1,
5.9,2
5.7,2
5.2,2
5.0,2
5.2,2
5.4,2
5.1,2
